work_key,doi,venue,axis,lens,device_class,architecture,field,value,unit,source_quotation,text_basis
10.1038/s41467-026-74018-8,10.1038/s41467-026-74018-8,Nature Communications,interfaces,experimental,module,p-i-n,pce_certified,27.12,%,"The resulting inverted PSCs and large-area modules accomplish a certified PCE of 27.12% and 22.25% (aperture area 655.2 cm2), respectively.",abstract
10.1038/s41467-026-74018-8,10.1038/s41467-026-74018-8,Nature Communications,interfaces,experimental,module,p-i-n,active_area_cm2,655.2,cm2,"The resulting inverted PSCs and large-area modules accomplish a certified PCE of 27.12% and 22.25% (aperture area 655.2 cm2), respectively.",abstract
10.1002/adma.74243,10.1002/adma.74243,Advanced Materials,defects,experimental,single_junction,n-i-p,pce_champion,26.54,%,"Consequently, the resulting perovskite solar cells achieve a power conversion efficiency (PCE) of 26.54%, the highest value for air‐processed n–i–p PSCs reported so far.",abstract
10.1002/adma.74243,10.1002/adma.74243,Advanced Materials,defects,experimental,single_junction,n-i-p,t80_h,9800,h,"with projected T 80 lifetimes of ∼9800 h under illumination and ∼11 000 h under thermal aging, among the most stable air‐processed perovskite solar cells",abstract
10.1016/j.hybadv.2026.100721,10.1016/j.hybadv.2026.100721,Hybrid Advances,interfaces,theory,single_junction,n-i-p,pce_champion,29.1,%,"density, and back-contact work function, the optimized device (FTO/ZnO/BaSnO 3 /(FAPbI 3 ) 0.85 (MAPbBr 3 ) 0.15 /Pt) achieved an enhanced PCE of 29.10%,",abstract
10.1021/acsenergylett.6c01489,10.1021/acsenergylett.6c01489,ACS Energy Letters,interfaces,experimental,single_junction,p-i-n,pce_champion,26.23,%,"Consequently, a champion efficiency of 26.23% is achieved, with an impressive fill factor (85.64%).",abstract
10.1002/aenm.71305,10.1002/aenm.71305,Advanced Energy Materials,defects,experimental,single_junction,p-i-n,pce_champion,27.25,%,"Consequently, the modified devices deliver a champion efficiency of 27.25%.",abstract
10.1002/aenm.71305,10.1002/aenm.71305,Advanced Energy Materials,defects,experimental,single_junction,p-i-n,pce_certified,26.84,%,"Notably, a third‐party certified steady‐state PCE (IEC 60904‐1:2020, AM1.5G, 25°C) achieved a mean value of 26.84% after 300s aging.",abstract
10.1002/aenm.71305,10.1002/aenm.71305,Advanced Energy Materials,defects,experimental,single_junction,p-i-n,pce_stabilised,26.84,%,"Notably, a third‐party certified steady‐state PCE (IEC 60904‐1:2020, AM1.5G, 25°C) achieved a mean value of 26.84% after 300s aging.",abstract
10.1002/adfm.77373,10.1002/adfm.77373,Advanced Functional Materials,defects,experimental,single_junction,unknown,pce_champion,26.32,%,"The reconstructed electronic landscape further promotes efficient carrier collection and long‐range transport, leading to a champion power conversion efficiency of 26.32% with a fill factor",abstract
10.1002/adfm.77378,10.1002/adfm.77378,Advanced Functional Materials,defects,experimental,single_junction,unknown,pce_champion,26.13,%,"Consequently, the GUDHP‐modified PSCs achieve a PCE of 26.13% with an FF exceeding 85% for normal bandgap (1.56 eV) cells, and a remarkable 20.06% PCE",abstract
10.1002/adma.74416,10.1002/adma.74416,Advanced Materials,interfaces,experimental,single_junction,p-i-n,pce_champion,26.78,%,"Ultimately, the optimized inverted PSCs achieved a power conversion efficiency (PCE) of 26.78%, and the unencapsulated devices retained 93.7% of their initial PCE after continuous",abstract
10.1038/s41467-026-75990-x,10.1038/s41467-026-75990-x,Nature Communications,defects,experimental,single_junction,unknown,pce_champion,26.26,%,"As a result, PSCs incorporating 4APM achieve a stabilized power conversion efficiency (PCE) of 26.26%, while retaining over 95% of their initial efficiency after 1000",abstract
10.1038/s41467-026-75990-x,10.1038/s41467-026-75990-x,Nature Communications,defects,experimental,single_junction,unknown,pce_stabilised,26.26,%,"As a result, PSCs incorporating 4APM achieve a stabilized power conversion efficiency (PCE) of 26.26%, while retaining over 95% of their initial efficiency after 1000",abstract
