work_key,doi,title,venue,venue_type,publication_date,type,lang,axis_primary,axis_secondary,lens,mechanism_centrality,first_author_institution,cited_by_count,oa_status,in_depth_tier
10.1088/1674-4926/26010044,10.1088/1674-4926/26010044,Pyroelectrically enhanced high-sensitivity self-powered position-sensitive detector based on ZnO/P(VDF-TrFE)-MAPbI 3 heterojunction with multifunctional imaging capability,Journal of Semiconductors,journal,2026-08-01,article,en,composition,,experimental,0.0,Affiliated Hospital Of Chengde Medical College,2,closed,0
10.1016/j.joule.2026.102645,10.1016/j.joule.2026.102645,"CsCl seed layer homogenizes co-evaporated perovskite growth for high-efficiency, fully textured perovskite-silicon tandem solar cells",Joule,journal,2026-08-01,article,en,architecture,,experimental,0.1935,,0,hybrid,1
10.1016/j.joule.2026.102635,10.1016/j.joule.2026.102635,Scalable dual-step deposition of cascaded nickel oxide enables high-efficiency inverted perovskite solar cells and mini-modules,Joule,journal,2026-08-01,article,en,scale_up,,experimental,0.0606,Ingenierie Des Materiaux Polymeres,0,green,0
10.1016/j.nxener.2026.100867,10.1016/j.nxener.2026.100867,Comprehensive multiscale analysis and performance optimization of triple-layer perovskite solar cell,Next Energy,journal,2026-08-01,article,en,interfaces,,theory,0.16,Netaji Subhas University Of Technology,0,gold,0
10.1016/j.apenergy.2026.128576,10.1016/j.apenergy.2026.128576,Turning current mismatch into advantage: suppressing hysteresis and improving operational stability in two-terminal perovskite/silicon tandem solar cells,Applied Energy,journal,2026-08-01,article,en,architecture,stability,experimental,0.0968,,0,hybrid,0
10.1002/adma.74469,10.1002/adma.74469,Synergistic Crystallization Regulation by Substituent Electronic Effects of Polyfluoroarenes Toward Large Area Perovskite Solar Module Fabrication,Advanced Materials,journal,2026-08-01,article,en,scale_up,,scale_up,0.1212,Ingenierie Des Materiaux Polymeres,0,closed,1
10.1007/s43621-026-04206-5,10.1007/s43621-026-04206-5,SCAPS-1dD and explainable machine learning framework for performance optimization of lead-free $$\hbox {Cs}_{2}\hbox {AgInBr}_{6}$$ double perovskite solar cells,Discover Sustainability,journal,2026-08-01,article,en,composition,,theory,0.1667,Symbiosis International University,0,gold,0
10.1002/adma.74388,10.1002/adma.74388,Crystallization Modulation for Stable Wide‐Bandgap Perovskite Solar Cells and Modules,Advanced Materials,journal,2026-08-01,article,en,composition,architecture,review,0.05,City University Of Hong Kong,0,closed,1
10.1002/ente.70607,10.1002/ente.70607,Ambient Processing of Large‐Area and Fully Slot‐Die‐Coated MAPbI 3 Perovskite Solar Cells,Energy Technology,journal,2026-08-01,article,en,interfaces,,experimental,0.08,Universidade Do Porto,0,closed,1
10.1016/j.joule.2026.102599,10.1016/j.joule.2026.102599,Inline millisecond subcell current metrology for perovskite/silicon tandem solar cells,Joule,journal,2026-08-01,article,en,architecture,,experimental,0.0968,,0,closed,0
10.1016/j.joule.2026.102597,10.1016/j.joule.2026.102597,Interfacial charge transfer acceleration and thermal stress release for high-performance perovskite/silicon tandem solar cells,Joule,journal,2026-08-01,article,en,architecture,,experimental,0.0968,Wuhan University,0,closed,0
10.1016/j.joule.2026.102600,10.1016/j.joule.2026.102600,Topology-governed self-assembled monolayers enable perovskite solar cells stable at −100°C to +100°C,Joule,journal,2026-08-01,article,en,composition,,experimental,0.0,Ulsan National,0,closed,0
