work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1021/acsnano.6c10992,10.1021/acsnano.6c10992,single_junction,,,0,lens=theory
10.1007/s40820-026-02278-6,10.1007/s40820-026-02278-6,single_junction,26.21,,1,
10.1007/s40820-026-02327-0,10.1007/s40820-026-02327-0,single_junction,,,0,lens=review
10.1002/adfm.77855,10.1002/adfm.77855,all_perovskite_tandem,26.2,,1,
10.1002/aenm.71482,10.1002/aenm.71482,single_junction,26.38,,1,
10.1021/acs.jpclett.6c02253,10.1021/acs.jpclett.6c02253,single_junction,21.05,,1,
10.1002/ente.70559,10.1002/ente.70559,single_junction,,,0,lens=review
10.1016/j.joule.2026.102645,10.1016/j.joule.2026.102645,perovskite_silicon_tandem,30.3,29.7,1,
10.1002/adfm.77712,10.1002/adfm.77712,single_junction,26.49,,1,
10.1002/adfm.77504,10.1002/adfm.77504,single_junction,22.3,,1,
10.1038/s41467-026-76786-9,10.1038/s41467-026-76786-9,all_perovskite_tandem,28.14,27.84,1,
10.1021/acsenergylett.6c01485,10.1021/acsenergylett.6c01485,single_junction,,,1,
10.1002/anie.5667084,10.1002/anie.5667084,single_junction,22.5,,1,
10.1002/adfm.78067,10.1002/adfm.78067,single_junction,26.12,,1,
10.1038/s41467-026-76497-1,10.1038/s41467-026-76497-1,single_junction,27.59,27.2,1,
10.1002/aenm.71419,10.1002/aenm.71419,single_junction,25.34,,1,
10.1016/j.joule.2026.102646,10.1016/j.joule.2026.102646,perovskite_silicon_tandem,,,1,
10.1016/j.decarb.2026.100190,10.1016/j.decarb.2026.100190,single_junction,22.38,,1,
10.1002/anie.3095986,10.1002/anie.3095986,single_junction,27.06,26.77,1,
10.1002/solr.70445,10.1002/solr.70445,single_junction,,,0,lens=review
10.1002/smll.75536,10.1002/smll.75536,single_junction,21.36,,1,
10.1021/jacs.6c05503,10.1021/jacs.6c05503,single_junction,,,1,
10.1002/aenm.71462,10.1002/aenm.71462,all_perovskite_tandem,,,1,
10.1021/acsaem.6c01436,10.1021/acsaem.6c01436,single_junction,,,1,
10.1038/s41467-026-76847-z,10.1038/s41467-026-76847-z,all_perovskite_tandem,20.36,,1,
10.1002/adma.74469,10.1002/adma.74469,module,27.01,,1,
10.1002/aenm.71514,10.1002/aenm.71514,single_junction,26.17,,1,
10.1021/acsami.6c10456,10.1021/acsami.6c10456,single_junction,,,1,
10.1002/anie.4221605,10.1002/anie.4221605,single_junction,26.99,,1,
10.1002/adma.74538,10.1002/adma.74538,single_junction,20.23,,1,
10.1002/smll.75089,10.1002/smll.75089,single_junction,22.48,,1,
10.1002/solr.70473,10.1002/solr.70473,single_junction,,,0,lens=review
10.1002/aenm.71396,10.1002/aenm.71396,single_junction,25.67,,1,
10.1021/acsnano.6c07355,10.1021/acsnano.6c07355,all_perovskite_tandem,29.47,,1,
10.1002/anie.6932848,10.1002/anie.6932848,single_junction,26.58,,1,
10.1002/anie.5241611,10.1002/anie.5241611,perovskite_silicon_tandem,33.0,32.56,1,
10.1002/adfm.77833,10.1002/adfm.77833,single_junction,17.07,,1,
10.1126/science.aeg8415,10.1126/science.aeg8415,single_junction,27.7,27.4,1,
10.1021/acs.chemrev.5c00782,10.1021/acs.chemrev.5c00782,single_junction,,,0,lens=review
10.1002/solr.70449,10.1002/solr.70449,single_junction,15.77,,1,
10.1002/solr.70461,10.1002/solr.70461,single_junction,23.72,,1,
10.1002/adma.74461,10.1002/adma.74461,all_perovskite_tandem,27.03,26.56,1,
10.1021/acsaem.6c01708,10.1021/acsaem.6c01708,single_junction,21.41,,1,
10.1002/smll.75122,10.1002/smll.75122,single_junction,26.19,,1,
10.1002/smll.75056,10.1002/smll.75056,single_junction,24.86,,1,
10.1002/aenm.71497,10.1002/aenm.71497,single_junction,24.1,,1,
10.1002/adfm.77729,10.1002/adfm.77729,single_junction,26.1,,1,
10.1002/adfm.77805,10.1002/adfm.77805,all_perovskite_tandem,24.25,,1,
10.1002/anie.6548693,10.1002/anie.6548693,all_perovskite_tandem,27.1,,1,
10.1002/aenm.71512,10.1002/aenm.71512,perovskite_silicon_tandem,32.16,,1,
10.1021/acsenergylett.6c02033,10.1021/acsenergylett.6c02033,module,26.13,,1,
10.1002/adma.74489,10.1002/adma.74489,single_junction,26.66,,1,
10.1002/smll.75360,10.1002/smll.75360,single_junction,26.17,,1,
10.1002/adma.74681,10.1002/adma.74681,single_junction,,,1,
10.1038/s41467-026-76713-y,10.1038/s41467-026-76713-y,perovskite_silicon_tandem,21.1,30.77,1,
10.1002/anie.8256065,10.1002/anie.8256065,single_junction,24.94,,1,
10.1021/acsenergylett.6c01692,10.1021/acsenergylett.6c01692,single_junction,,,1,
10.1038/s41467-026-76848-y,10.1038/s41467-026-76848-y,single_junction,26.32,25.67,1,
10.1002/adma.74828,10.1002/adma.74828,module,22.83,,1,
10.1021/acsenergylett.6c01363,10.1021/acsenergylett.6c01363,perovskite_silicon_tandem,,,1,
10.1021/acsenergylett.6c01966,10.1021/acsenergylett.6c01966,perovskite_silicon_tandem,,,0,lens=review
10.1021/acs.jpclett.6c02178,10.1021/acs.jpclett.6c02178,single_junction,,,1,
10.1002/smll.75074,10.1002/smll.75074,single_junction,,,1,
10.1002/smll.75420,10.1002/smll.75420,single_junction,,,0,lens=review
10.1021/acsaem.6c02083,10.1021/acsaem.6c02083,single_junction,,,1,
10.1002/anie.3716107,10.1002/anie.3716107,single_junction,26.79,,1,
10.1002/adma.74388,10.1002/adma.74388,module,,,0,lens=review
10.1002/adma.74769,10.1002/adma.74769,single_junction,16.48,,1,
10.1002/adma.74438,10.1002/adma.74438,single_junction,27.06,20.11,1,
10.1002/adma.74486,10.1002/adma.74486,single_junction,25.3,,1,
10.1002/adma.74629,10.1002/adma.74629,single_junction,23.3,,1,
10.1021/acs.jpclett.6c02136,10.1021/acs.jpclett.6c02136,single_junction,26.04,,1,
10.1002/adfm.202532038,10.1002/adfm.202532038,module,,,0,lens=review
10.1002/adfm.77637,10.1002/adfm.77637,perovskite_silicon_tandem,33.02,,0,lens=theory
10.1021/acsnano.5c21962,10.1021/acsnano.5c21962,module,25.19,,1,
10.1002/aenm.71372,10.1002/aenm.71372,single_junction,24.7,,1,
10.1002/adfm.77942,10.1002/adfm.77942,single_junction,26.14,25.23,1,
10.1002/smll.75482,10.1002/smll.75482,single_junction,23.95,,1,
10.1002/ente.70616,10.1002/ente.70616,single_junction,,,1,
10.1021/acs.jpclett.6c02564,10.1021/acs.jpclett.6c02564,single_junction,,,0,lens=theory
10.1021/acs.jpclett.6c01871,10.1021/acs.jpclett.6c01871,single_junction,,,0,lens=theory
10.1002/anie.3883037,10.1002/anie.3883037,single_junction,23.24,,1,
10.1021/acsenergylett.6c01444,10.1021/acsenergylett.6c01444,single_junction,26.22,,1,
10.1038/s41467-026-76425-3,10.1038/s41467-026-76425-3,single_junction,26.32,,1,
10.1038/s41467-026-76266-0,10.1038/s41467-026-76266-0,perovskite_silicon_tandem,,33.66,1,
10.1002/smll.75159,10.1002/smll.75159,single_junction,,,0,lens=review
10.1021/acsaem.6c01323,10.1021/acsaem.6c01323,single_junction,,,1,
10.1002/smll.74689,10.1002/smll.74689,single_junction,,,1,
10.1021/acsaem.6c01544,10.1021/acsaem.6c01544,perovskite_silicon_tandem,,,0,lens=theory
10.1021/acsenergylett.6c01191,10.1021/acsenergylett.6c01191,single_junction,25.59,,1,
10.1002/anie.2425823,10.1002/anie.2425823,single_junction,26.67,26.44,1,
10.1002/anie.7848549,10.1002/anie.7848549,single_junction,27.05,26.51,1,
10.1021/jacs.6c12975,10.1021/jacs.6c12975,single_junction,25.2,,1,
10.1002/aenm.71345,10.1002/aenm.71345,single_junction,,,1,
10.1002/rar2.70465,10.1002/rar2.70465,single_junction,,,0,lens=review
10.1002/rar2.70509,10.1002/rar2.70509,single_junction,25.44,,0,lens=theory
10.1002/ente.70607,10.1002/ente.70607,single_junction,8.12,,1,
10.1021/acs.jpclett.6c01761,10.1021/acs.jpclett.6c01761,single_junction,10.48,,1,
10.1016/j.solener.2026.115062,10.1016/j.solener.2026.115062,single_junction,8.74,,1,
10.1021/acsaem.6c02041,10.1021/acsaem.6c02041,single_junction,22.6,,1,
10.1021/acsaem.6c02063,10.1021/acsaem.6c02063,single_junction,,,1,
10.1002/aenm.71474,10.1002/aenm.71474,single_junction,26.21,,1,
10.1002/aenm.71465,10.1002/aenm.71465,single_junction,,,1,
10.1002/adfm.77726,10.1002/adfm.77726,single_junction,,,0,lens=theory
10.1002/ente.70623,10.1002/ente.70623,single_junction,,,0,lens=review
10.1002/advs.76950,10.1002/advs.76950,single_junction,23.14,,1,
10.1093/nsr/nwag484,10.1093/nsr/nwag484,single_junction,26.54,26.03,1,
10.1021/acsenergylett.6c00547,10.1021/acsenergylett.6c00547,single_junction,,,1,
10.1002/smll.75068,10.1002/smll.75068,module,,17.35,1,
10.1002/solr.70454,10.1002/solr.70454,single_junction,14.13,,1,
10.1002/solr.70458,10.1002/solr.70458,single_junction,,,1,
10.3390/nano16171072,10.3390/nano16171072,single_junction,,,1,
10.1021/acsami.6c11467,10.1021/acsami.6c11467,single_junction,25.03,,1,
10.1016/j.jcis.2026.141449,10.1016/j.jcis.2026.141449,single_junction,22.73,,1,
10.1126/sciadv.aec3096,10.1126/sciadv.aec3096,single_junction,26.76,26.45,1,
10.1002/advs.77051,10.1002/advs.77051,single_junction,16.02,,1,
10.1021/acsami.6c07537,10.1021/acsami.6c07537,single_junction,18.2,,1,
10.1021/acsami.6c11057,10.1021/acsami.6c11057,single_junction,9.29,,1,
