work_key,doi,venue,axis,lens,device_class,architecture,field,value,unit,source_quotation,text_basis
10.1002/adma.73833,10.1002/adma.73833,Advanced Materials,defects,experimental,single_junction,unknown,pce_champion,22.28,%,solar cells incorporating DPS achieve a champion power conversion efficiency of 22.28%,abstract
10.1002/adma.73567,10.1002/adma.73567,Advanced Materials,interfaces,experimental,single_junction,p-i-n,pce_champion,23.33,%,the optimized devices achieve a champion efficiency of 23.33%,abstract
10.1021/acs.jpclett.6c01458,10.1021/acs.jpclett.6c01458,The Journal of Physical Chemistry Letters,defects,experimental,single_junction,p-i-n,pce_champion,22.14,%,inverted WBG perovskite solar cells achieve a champion power conversion efficiency of 22.14%,abstract
10.1002/adfm.76291,10.1002/adfm.76291,Advanced Functional Materials,interfaces,experimental,single_junction,p-i-n,pce_champion,26.52,%,The resulting PSCs achieve a champion PCE of 26.52% with enhanced stability,abstract
10.1002/smll.74328,10.1002/smll.74328,Small,defects,experimental,single_junction,unknown,pce_champion,25.94,%,the PIT‐modified PSCs achieve a champion PCE of 25.94%,abstract
10.1126/science.aef5355,10.1126/science.aef5355,Science,architecture,experimental,perovskite_silicon_tandem,tandem_2T,pce_champion,33.2,%,delivered a champion power conversion efficiency of 33.2% (1 square centimeter),abstract
10.1126/science.aef5355,10.1126/science.aef5355,Science,architecture,experimental,perovskite_silicon_tandem,tandem_2T,pce_certified,33.6,%,"For RPD-SnO x as the recombination layer, we achieved a certified efficiency of 33.6%",abstract
10.1126/science.aef5355,10.1126/science.aef5355,Science,architecture,experimental,perovskite_silicon_tandem,tandem_2T,active_area_cm2,1,cm2,champion power conversion efficiency of 33.2% (1 square centimeter),abstract
10.1021/acsami.6c06698,10.1021/acsami.6c06698,ACS Applied Materials & Interfaces,defects,experimental,single_junction,n-i-p,pce_champion,24.42,%,the optimized devices achieve a champion power conversion efficiency of 24.42%,abstract
10.1002/adma.73713,10.1002/adma.73713,Advanced Materials,defects,experimental,all_perovskite_tandem,tandem_2T,pce_champion,33.59,%,"When integrated into silicon‐based tandem cells, the device delivers an efficiency of 33.59%",abstract
